experiment,n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy
exp_1,50,5,2,1,0.5833
exp_2,50,10,2,1,0.5167
exp_3,50,15,4,2,0.5333
exp_4,100,5,2,1,0.5167
exp_5,100,10,2,1,0.5
exp_6,100,15,4,2,0.55
exp_7,150,5,2,1,0.5333
exp_8,150,10,2,1,0.6333
exp_9,150,15,4,2,0.6167
exp_10,200,5,2,1,0.5833
exp_11,200,10,4,1,0.5167
exp_12,200,15,4,2,0.5667
exp_13,75,8,3,1,0.6
exp_14,75,12,3,2,0.5333
exp_15,125,8,3,1,0.7
exp_16,125,12,5,2,0.55
exp_17,175,8,3,1,0.5667
exp_18,175,12,5,2,0.5
exp_19,250,10,2,1,0.65
exp_20,250,20,5,3,0.45
